X,Y
162,52
169,68
168,63
187,63
169,58
170,74
160,62
171,60
174,70
170,63
173,66
171,64
161,59
163,54
176,78
171,73
169,67
173,68
174,65
165,61
163,57
155,61
182,75
161,51
168,67
164,62
171,66
164,62
167,62
180,69
167,63
170,61
172,72
171,73
169,58
170,74
190,80
156,55
168,59
176,75
154,52
160,62
161,59
180,76
171,62
175,67
173,66
161,56
182,76
174,75
169,56
175,67
171,60
167,53
171,63
168,58
167,55
176,67
163,63
178,69
165,60
162,58
164,60
178,80
164,59
164,60
164,62
171,76
169,66
173,63
163,58
174,70
172,72
169,64
178,71
162,65
169,62
168,61
165,56
172,70
178,66
180,65
165,69
176,70
164,56
169,61
161,57
163,54
171,70
162,65
174,73
167,59
166,57
168,54
174,66
171,73
172,67
163,65
170,62
163,54
